backend-fastapi-1  | INFO:     Started server process [1]
backend-fastapi-1  | INFO:     172.18.0.1:58626 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:54032 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.1:47478 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:37148 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.1:39454 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:49802 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.1:60246 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:53854 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.1:44734 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:37846 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.1:37028 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:39800 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.1:40800 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:33042 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.1:50736 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:42534 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.1:55552 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:57366 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.1:37316 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:54582 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.1:47130 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:39108 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.1:39274 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:39656 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.1:34640 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:55494 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.1:44976 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:55482 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.1:43654 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:50414 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.1:41054 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:50448 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.1:41856 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:51580 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.1:45766 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.5:56136 - "GET /docs HTTP/1.1" 200 OK
backend-fastapi-1  | INFO:     172.18.0.1:55868 - "GET /docs HTTP/1.1" 200 OK
